"id","name","name_bn","division_id","created_by","created_at","updated_by","updated_at"
1,Dhaka,ঢাকা,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
2,Gazipur,গাজীপুর,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
3,Narsingdi,নরসিংদী,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
4,Narayanganj,নারায়ণগঞ্জ,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
5,Munshiganj,মুন্সিগঞ্জ,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
6,Manikganj,মানিকগঞ্জ,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
7,Faridpur,ফরিদপুর,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
8,The palace,রাজবাড়ী,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
9,Madaripur,মাদারীপুর,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
10,Shariatpur,শরীয়তপুর,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
11,Gopalganj,গোপালগঞ্জ,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
12,Kishoreganj,কিশোরগঞ্জ,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
13,Tangail,টাঙ্গাইল,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
14,Mymensingh,ময়মনসিংহ,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
15,Netrokona,নেত্রকোনা,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
16,Sherpur,শেরপুর,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
17,Jamalpur,জামালপুর,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
18,Sylhet,সিলেট,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
19,Moulvibazar,মৌলভীবাজার,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
20,Sunamganj,সুনামগঞ্জ,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
21,Habiganj,হবিগঞ্জ,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
22,Comilla,কুমিল্লা,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
23,Brahmanbaria,ব্রাহ্মণবাড়ীয়া,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
24,Chandpur,চাঁদপুর,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
25,Noakhali,নোয়াখালী,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
26,Feni,ফেনী,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
27,Lakshmipur,লক্ষীপুর,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
28,Chittagong,চট্টগ্রাম,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
29,Rangamati,রাঙামাটি,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
30,Khagrachari,খাগড়াছড়ি,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
31,Bandarban,বান্দরবান,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
32,Cox''s Bazar,কক্সবাজার,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
33,Barisal,বরিশাল,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
34,Bhola,ভোলা,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
35,Patuakhali,পটুয়াখালী,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
36,Barguna,বরগুনা,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
37,Jhalakathi,ঝালকাঠি,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
38,Pirojpur,পিরোজপুর,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
39,Khulna,খুলনা,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
40,Bagerhat,বাগেরহাট,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
41,Satkhira,সাতক্ষীরা,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
42,Jessore,যশোর,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
43,Narail,নড়াইল,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
44,Magura,মাগুরা,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
45,Jhenaidah,ঝিনাইদহ,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
46,Kushtia,কুষ্টিয়া,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
47,Chuadanga,চুয়াডাঙ্গা,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
48,Meherpur,মেহেরপুর,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
49,Rajshahi,রাজশাহী,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
50,Naogaon,নওগাঁ,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
51,Natore,নাটোর,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
52,Chapai Nawabganj,চাঁপাই নবাবগঞ্জ,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
53,Pabna,পাবনা,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
54,Sirajganj,সিরাজগঞ্জ,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
55,Bogra,বগুড়া,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
56,Joypurhat,জয়পুরহাট,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
57,Rangpur,রংপুর,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
58,Kurigram,কুড়িগ্রাম,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
59,Gaibandha,গাইবান্ধা,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
60,Nilphamari,নীলফামারী,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
61,Lalmonirhat,লালমনিরহাট,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
62,Dinajpur,দিনাজপুর,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
63,Thakurgaon,ঠাকুরগাঁও,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
64,Panchagarh,পঞ্চগড়,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
65,Unknown,অজানা,9,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
