student_id,year_id,classroom_version_section_id,roll,created_at,updated_at
1,1,1,1,2025-01-01 09:00:00,2025-01-01 09:00:00
2,1,1,2,2025-01-01 09:01:00,2025-01-01 09:01:00

3,1,2,1,2025-01-01 09:02:00,2025-01-01 09:02:00
4,1,2,2,2025-01-01 09:03:00,2025-01-01 09:03:00

5,1,3,1,2025-01-01 09:04:00,2025-01-01 09:04:00
6,1,3,2,2025-01-01 09:05:00,2025-01-01 09:05:00

7,1,4,1,2025-01-01 09:06:00,2025-01-01 09:06:00
8,1,4,2,2025-01-01 09:07:00,2025-01-01 09:07:00

9,1,5,1,2025-01-01 09:08:00,2025-01-01 09:08:00
10,1,5,2,2025-01-01 09:09:00,2025-01-01 09:09:00

11,1,6,1,2025-01-01 09:10:00,2025-01-01 09:10:00
12,1,6,2,2025-01-01 09:11:00,2025-01-01 09:11:00

13,1,7,1,2025-01-01 09:12:00,2025-01-01 09:12:00
14,1,7,2,2025-01-01 09:13:00,2025-01-01 09:13:00

15,1,8,1,2025-01-01 09:14:00,2025-01-01 09:14:00
16,1,8,2,2025-01-01 09:15:00,2025-01-01 09:15:00

17,1,9,1,2025-01-01 09:16:00,2025-01-01 09:16:00
18,1,10,1,2025-01-01 09:17:00,2025-01-01 09:17:00

19,1,11,1,2025-01-01 09:18:00,2025-01-01 09:18:00
20,1,12,1,2025-01-01 09:19:00,2025-01-01 09:19:00
